Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.02,0.29810486,0.30467083,0.32089673,0.43220572,0.29718934,0.29599416,0.37600313,0.34020127,0.31491284,0.39240589,0.28181428,,,,,,,,,,,,,,,,,,,,,,
0.022,0.29826242,0.30492115,0.32210676,0.42541943,0.29954062,0.30014361,0.38702021,0.34533657,0.31599515,0.39246598,0.28251952,,,,,,,,,,,,,,,,,,,,,,
0.025,0.29850137,0.30765241,0.32230756,0.43692784,0.29958471,0.29965769,0.38862852,0.34948715,0.32082147,0.3924109,0.28291133,,,,,,,,,,,,,,,,,,,,,,
0.029,0.29887616,0.30804855,0.32239292,0.44689372,0.32957436,0.30739082,0.37449821,0.34128768,0.3207313,0.39309229,0.28317563,,,,,,,,,,,,,,,,,,,,,,
0.03,0.29899088,0.30906973,0.32288198,0.44633018,0.32999362,0.30492127,0.38176385,0.33985171,0.32181046,0.39324281,0.28472,,,,,,,,,,,,,,,,,,,,,,
0.032,0.29925303,0.31472887,0.32217046,0.44416067,0.32195581,0.30713728,0.37485155,0.3379265,0.32069314,0.39314608,0.28873977,,,,,,,,,,,,,,,,,,,,,,
0.035,0.29965578,0.31678444,0.32010733,0.46163971,0.33753299,0.31561546,0.38975989,0.3366711,0.31783205,0.39304652,0.29330907,,,,,,,,,,,,,,,,,,,,,,
0.036,0.29981401,0.31849161,0.32336831,0.47514374,0.34293834,0.31949548,0.39478941,0.33584094,0.3183205,0.39352199,0.2938279,,,,,,,,,,,,,,,,,,,,,,
0.04,0.30058365,0.32754907,0.33806159,0.51468863,0.36236941,0.33908375,0.38692995,0.33959659,0.31887577,0.39562418,0.28804851,,,,,,,,,,,,,,,,,,,,,,
0.042,0.3010162,0.33444657,0.33987666,0.53069884,0.35368092,0.35427136,0.39247568,0.34258042,0.32009819,0.39549783,0.29367075,,,,,,,,,,,,,,,,,,,,,,
0.044,0.30138824,0.33888771,0.33895559,0.55595884,0.36181273,0.36529713,0.40327466,0.34375777,0.32106798,0.39641708,0.29954856,,,,,,,,,,,,,,,,,,,,,,
0.045,0.30169233,0.34200744,0.33832916,0.56617902,0.38257319,0.37006919,0.40532942,0.34292314,0.32099999,0.3970744,0.30202738,,,,,,,,,,,,,,,,,,,,,,
0.046,0.30198246,0.34481312,0.34235274,0.57485549,0.39821774,0.3748783,0.40688175,0.34324451,0.32103815,0.39823592,0.30651747,,,,,,,,,,,,,,,,,,,,,,
0.048,0.30231332,0.35099145,0.3628796,0.57826446,0.39547899,0.37741328,0.40597722,0.35118342,0.32104111,0.39825337,0.31678757,,,,,,,,,,,,,,,,,,,,,,
0.05,0.30247896,0.35729974,0.37705623,0.56480961,0.36286066,0.36840862,0.40971592,0.35256436,0.32253442,0.3981029,0.32080507,,,,,,,,,,,,,,,,,,,,,,
0.055,0.30402012,0.39412474,0.35225151,0.59314932,0.36690479,0.35003033,0.43068122,0.37862853,0.33630808,0.39754236,0.32339845,,,,,,,,,,,,,,,,,,,,,,
0.06,0.32172042,0.44718618,0.36916493,0.58565797,0.38682245,0.34482069,0.44157742,0.39186238,0.34054408,0.40232593,0.3260053,,,,,,,,,,,,,,,,,,,,,,
0.065,0.33958511,0.51420842,0.40762901,0.54924684,0.4348502,0.3646763,0.49302689,0.43253782,0.3409819,0.40201994,0.33402998,,,,,,,,,,,,,,,,,,,,,,
0.067,0.33965735,0.49460134,0.42511171,0.54496313,0.44267198,0.37026142,0.50415111,0.44968443,0.35199293,0.40422472,0.33546845,,,,,,,,,,,,,,,,,,,,,,
0.07,0.34294982,0.47683107,0.45909176,0.54485228,0.43371084,0.39412769,0.51289199,0.46636512,0.35944347,0.40759018,0.34986939,,,,,,,,,,,,,,,,,,,,,,
0.075,0.37310221,0.49273756,0.50705738,0.53213104,0.48935495,0.39882087,0.54378574,0.43430009,0.34688333,0.40375399,0.36968445,,,,,,,,,,,,,,,,,,,,,,
0.08,0.42333965,0.49718447,0.5250708,0.49938736,0.50918877,0.39200902,0.57239605,0.48226058,0.37647561,0.40487334,0.38889559,,,,,,,,,,,,,,,,,,,,,,
0.085,0.44338842,0.47596807,0.53312012,0.4903189,0.5298899,0.43661998,0.58403641,0.50321766,0.38657636,0.40412116,0.36949372,,,,,,,,,,,,,,,,,,,,,,
0.09,0.47210319,0.48280622,0.5791894,0.54214609,0.52794531,0.46055122,0.64338952,0.5744311,0.37979132,0.3977011,0.38513354,,,,,,,,,,,,,,,,,,,,,,
0.095,0.51379827,0.49672277,0.59136006,0.52441542,0.56082292,0.49397311,0.66956278,0.63058277,0.37129645,0.40049501,0.4206439,,,,,,,,,,,,,,,,,,,,,,
0.1,0.55764406,0.48870821,0.56813535,0.53150198,0.71550315,0.48257315,0.68208757,0.62792767,0.39760437,0.39825803,0.44038732,,,,,,,,,,,,,,,,,,,,,,
0.11,0.54826996,0.51539761,0.56190248,0.66547778,0.62153232,0.57580492,0.65306015,0.59136274,0.38031333,0.41783562,0.50962953,,,,,,,,,,,,,,,,,,,,,,
0.12,0.62707086,0.58783155,0.57928873,0.71936269,0.64325022,0.61534753,0.9414399,0.65316127,0.49634861,0.41060597,0.50616759,,,,,,,,,,,,,,,,,,,,,,
0.13,0.75723693,0.65934315,0.64473188,0.77308609,0.62955862,0.64685465,0.96804747,0.56507905,0.58390208,0.41681471,0.56475677,,,,,,,,,,,,,,,,,,,,,,
0.133,0.76186385,0.67092518,0.66947049,0.81779731,0.68343604,0.63702311,0.95388318,0.55643618,0.58071394,0.42937778,0.54948682,,,,,,,,,,,,,,,,,,,,,,
0.14,0.6987764,0.64527552,0.69868965,0.84725524,0.79133458,0.58012073,0.88384482,0.59003159,0.56085689,0.44673978,0.55091596,,,,,,,,,,,,,,,,,,,,,,
0.15,0.64892127,0.65316309,0.67315642,0.84813303,0.76286264,0.62050886,1.06750307,0.69968847,0.5245454,0.42162008,0.57249094,,,,,,,,,,,,,,,,,,,,,,
