Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
13,0.00472763,0.01946609,0.00206273,0.00220845,0.03675805,0.0128025,0.00655517,0.01265709,0.01072727,0.01759782,0.01006475,,,,,,,,,,,,,,,,,,,,,,
14,0.00408386,0.01699014,0.00165494,0.00189724,0.02652752,0.01071615,0.00462617,0.00946012,0.00768145,0.01421117,0.00859495,,,,,,,,,,,,,,,,,,,,,,
15,0.00358939,0.01407126,0.00135081,0.00164764,0.02101142,0.00911691,0.00344661,0.00804695,0.00632629,0.01122821,0.00729725,,,,,,,,,,,,,,,,,,,,,,
20,0.00207583,0.00576421,0.00062536,0.00091792,0.0076996,0.00420692,0.00181105,0.0033048,0.00268964,0.00585014,0.00314704,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Unscaled Horizontal & Vertical Spectra, as recorded --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period (sec),RSN-6 Horizontal-1 pSa (g),RSN-6 Horizontal-2 pSa (g),RSN-6 Vertical pSa (g),RSN-266 Horizontal-1 pSa (g),RSN-266 Horizontal-2 pSa (g),RSN-266 Vertical pSa (g),RSN-461 Horizontal-1 pSa (g),RSN-461 Horizontal-2 pSa (g),RSN-461 Vertical pSa (g),RSN-4098 Horizontal-1 pSa (g),RSN-4098 Horizontal-2 pSa (g),RSN-4098 Vertical pSa (g),RSN-5823 Horizontal-1 pSa (g),RSN-5823 Horizontal-2 pSa (g),RSN-5823 Vertical pSa (g),RSN-6890 Horizontal-1 pSa (g),RSN-6890 Horizontal-2 pSa (g),RSN-6890 Vertical pSa (g),RSN-140 Horizontal-1 pSa (g),RSN-140 Horizontal-2 pSa (g),RSN-140 Vertical pSa (g),RSN-836 Horizontal-1 pSa (g),RSN-836 Horizontal-2 pSa (g),RSN-836 Vertical pSa (g),RSN-841 Horizontal-1 pSa (g),RSN-841 Horizontal-2 pSa (g),RSN-841 Vertical pSa (g),RSN-1454 Horizontal-1 pSa (g),RSN-1454 Horizontal-2 pSa (g),RSN-1454 Vertical pSa (g),RSN-5883 Horizontal-1 pSa (g),RSN-5883 Horizontal-2 pSa (g),RSN-5883 Vertical pSa (g)
0.01,0.2817415,0.2117587,0.181,0.1517123,0.09803978,0.0986,0.1562441,0.312276,0.11,0.4428537,0.3616005,0.231,0.2489528,0.1973895,0.281,0.2291615,0.2512973,0.297,0.09481566,0.1058563,0.0535,0.108659,0.1069223,0.0567,0.1193446,0.09066177,0.0539,0.08940732,0.1384579,0.0294,0.1015537,0.06601898,0.0455
0.02,0.2809794,0.2108117,0.178,0.1512824,0.09750016,0.0993,0.1571237,0.3138601,0.11,0.4481347,0.3642311,0.229,0.2531752,0.1984319,0.301,0.2309604,0.2527474,0.324,0.09523772,0.1066606,0.0536,0.109326,0.1075783,0.0573,0.1198279,0.09142552,0.0544,0.08951332,0.1385598,0.0296,0.1020407,0.06615283,0.046
0.022,0.2811229,0.2109298,0.179,0.1515079,0.09742306,0.0998,0.1576916,0.3150559,0.11,0.4386344,0.3615225,0.234,0.255946,0.1990184,0.287,0.2371134,0.2535959,0.328,0.09992669,0.1080607,0.0555,0.1108748,0.1093052,0.0601,0.1206653,0.09117926,0.0542,0.08951622,0.138588,0.0297,0.1023707,0.0662031,0.0462
0.025,0.281343,0.2111056,0.181,0.1516261,0.1001962,0.101,0.1583805,0.314956,0.11,0.4516483,0.3699051,0.239,0.2555281,0.1996322,0.328,0.2322249,0.2573233,0.363,0.09876136,0.1099503,0.0643,0.112367,0.1104568,0.0589,0.1230779,0.09181317,0.054,0.08951209,0.1385631,0.0297,0.1026831,0.06603063,0.0466
0.029,0.2817062,0.2113574,0.184,0.1517102,0.1004932,0.0996,0.1581599,0.3151713,0.111,0.4635631,0.376364,0.26,0.2790721,0.2221969,0.394,0.2390356,0.2632236,0.43,0.09040707,0.1100451,0.0686,0.1066978,0.1108663,0.055,0.122526,0.09247679,0.0538,0.08986212,0.1386778,0.0297,0.1022588,0.0668944,0.0463
0.03,0.2818202,0.2114307,0.185,0.1525989,0.1002415,0.103,0.1574674,0.3161156,0.111,0.4646351,0.3738398,0.262,0.2774978,0.2248814,0.447,0.241149,0.2573881,0.439,0.09387841,0.1107469,0.0717,0.1065184,0.1101398,0.0545,0.1233018,0.0923043,0.0535,0.089876,0.1387442,0.0298,0.1029852,0.06700063,0.046
0.032,0.2820597,0.2116262,0.186,0.1553573,0.1021313,0.111,0.1569456,0.315506,0.11,0.4683895,0.3644232,0.267,0.2663163,0.2247512,0.535,0.2492818,0.25313,0.458,0.09592318,0.1054533,0.0693,0.1076562,0.1078047,0.0578,0.1232971,0.09141551,0.0534,0.08983409,0.1387229,0.0304,0.1052407,0.06669837,0.0461
0.035,0.2824301,0.2119233,0.188,0.157474,0.1011021,0.113,0.1607197,0.3110624,0.11,0.4639851,0.4064184,0.289,0.282809,0.231283,0.518,0.2521292,0.2640291,0.481,0.09846552,0.1107916,0.0733,0.1071464,0.1075138,0.0606,0.1218564,0.09105765,0.0538,0.08980898,0.1386893,0.0309,0.1073361,0.06707063,0.0462
0.036,0.2825787,0.2120359,0.189,0.1586476,0.101139,0.116,0.1624625,0.3141767,0.11,0.4709629,0.4257184,0.289,0.2884158,0.2336627,0.537,0.2545386,0.2679323,0.483,0.09910446,0.1127795,0.0735,0.1066248,0.1075046,0.0615,0.1221986,0.09098989,0.0541,0.09010046,0.1387385,0.0308,0.1070999,0.06786636,0.046
0.04,0.2832355,0.2126716,0.192,0.1655427,0.1001786,0.121,0.1686031,0.3290913,0.111,0.4749244,0.497362,0.303,0.3000536,0.2525979,0.621,0.2754697,0.2792035,0.657,0.09891684,0.1089395,0.0692,0.1087922,0.107731,0.0586,0.1227053,0.09075306,0.0537,0.09039865,0.1395984,0.0318,0.103222,0.06924777,0.0487
0.042,0.2835964,0.2130398,0.194,0.1688107,0.1026475,0.117,0.1675843,0.3318369,0.111,0.4714318,0.5296733,0.359,0.2874879,0.2527843,0.624,0.2979278,0.2813657,0.796,0.09934187,0.1113942,0.0721,0.1099192,0.1085045,0.0611,0.1231808,0.09109406,0.0536,0.09039713,0.1395361,0.0317,0.1063351,0.06893393,0.0487
0.044,0.283963,0.2132817,0.195,0.1719986,0.1024382,0.123,0.1646224,0.3321922,0.112,0.4791945,0.5676071,0.365,0.3058325,0.2446059,0.738,0.2981422,0.299423,0.912,0.09955855,0.1166549,0.0783,0.1092835,0.1098946,0.0656,0.1234994,0.09144383,0.0546,0.09031161,0.1400515,0.0309,0.1101755,0.06759937,0.0487
0.045,0.2841703,0.2136023,0.196,0.1738167,0.1029861,0.126,0.1627608,0.3323455,0.112,0.4819022,0.5831377,0.364,0.3267585,0.2543606,0.771,0.2966258,0.3086281,0.88,0.0988859,0.1182461,0.0816,0.1085454,0.1100959,0.0662,0.1234916,0.09139967,0.055,0.09048078,0.1402712,0.0305,0.1119276,0.06676976,0.0492
0.046,0.2843848,0.2138859,0.197,0.1751092,0.1040558,0.135,0.1635332,0.3368651,0.12,0.481128,0.5987232,0.361,0.3400495,0.2648535,0.826,0.2970865,0.3158657,0.846,0.09831595,0.1194859,0.0838,0.1083183,0.1105223,0.0678,0.1234498,0.0914868,0.0553,0.09071401,0.1407018,0.0301,0.114291,0.06657593,0.0496
0.048,0.2848036,0.2139776,0.199,0.1784067,0.1056507,0.155,0.1747302,0.3563839,0.135,0.4733206,0.6106873,0.345,0.337337,0.2635112,0.973,0.2922504,0.3243036,0.94,0.09943613,0.118106,0.0844,0.1109302,0.112974,0.0682,0.1227489,0.09242743,0.0553,0.09052298,0.1408335,0.0297,0.11854,0.06808118,0.0503
0.05,0.2850278,0.2140041,0.201,0.1826591,0.1057634,0.168,0.191188,0.3654271,0.15,0.4592211,0.5988575,0.319,0.2947819,0.2595359,0.989,0.2752436,0.3253281,0.932,0.09930116,0.1200704,0.083,0.1120765,0.1127166,0.0702,0.1234431,0.09269346,0.0552,0.09031084,0.1408945,0.0304,0.1200923,0.06885924,0.0504
0.055,0.2858795,0.215892,0.203,0.1959008,0.1258152,0.196,0.2122325,0.3215657,0.136,0.5201358,0.5979619,0.36,0.2890117,0.2723693,0.764,0.2697942,0.3018977,0.954,0.09826681,0.1310321,0.0928,0.1240628,0.1172536,0.0732,0.1309268,0.09363347,0.0588,0.09001265,0.1408056,0.0331,0.1211885,0.06919678,0.0536
0.06,0.3122033,0.2150448,0.204,0.1994839,0.1731793,0.175,0.2190188,0.3392279,0.127,0.5536605,0.5529868,0.389,0.3028569,0.2890992,0.927,0.2595693,0.3028391,0.792,0.08841767,0.1427678,0.105,0.1284403,0.1213082,0.0789,0.1312826,0.09659567,0.0606,0.0923472,0.1416921,0.0316,0.1225333,0.06910621,0.0674
0.065,0.3358715,0.2175069,0.237,0.2402851,0.1858322,0.212,0.218895,0.3884273,0.137,0.5358422,0.501433,0.486,0.3637855,0.2986531,0.838,0.2856932,0.3103481,0.652,0.1140808,0.1487956,0.0991,0.1503783,0.1241572,0.0756,0.131997,0.0959739,0.0655,0.0933501,0.1408791,0.0324,0.1252918,0.07126224,0.078
0.067,0.3345165,0.2197402,0.256,0.2360165,0.1722331,0.219,0.2140358,0.4127916,0.138,0.5212241,0.508448,0.569,0.3526652,0.3243487,0.77,0.2868515,0.3180327,0.593,0.1178874,0.1511999,0.0895,0.1591908,0.1255458,0.071,0.139311,0.09473418,0.0695,0.09281267,0.1423415,0.0325,0.1258685,0.07150378,0.0823
0.07,0.3365952,0.2236321,0.267,0.2369356,0.1523334,0.238,0.2102903,0.4559951,0.154,0.5031366,0.5261481,0.601,0.3338874,0.32999,0.696,0.295906,0.34681,0.545,0.1140996,0.1581955,0.082,0.1704174,0.1231557,0.0739,0.1416293,0.09766008,0.0735,0.09235656,0.1443204,0.0338,0.1275487,0.08077611,0.0857
0.075,0.3761707,0.2275563,0.297,0.2545967,0.14109,0.27,0.2519245,0.4940949,0.142,0.4616332,0.5407532,0.586,0.3385994,0.4073071,0.778,0.2826103,0.3646206,0.6,0.1150105,0.1718672,0.0909,0.1549677,0.1196836,0.081,0.1321758,0.1004672,0.0696,0.09359525,0.141591,0.0413,0.1326545,0.08860693,0.0949
0.08,0.4346254,0.2448316,0.297,0.2441622,0.1632387,0.281,0.2597332,0.512228,0.133,0.4264273,0.5132063,0.516,0.3571982,0.4197148,0.841,0.2680263,0.3657471,0.607,0.123212,0.179452,0.0979,0.174559,0.1296286,0.0912,0.1472023,0.1039188,0.068,0.09442039,0.141608,0.043,0.1403959,0.09192953,0.087
0.085,0.4501844,0.265148,0.383,0.2426905,0.14198,0.221,0.3257384,0.4836566,0.16,0.4247821,0.4987567,0.514,0.3695716,0.4385978,0.742,0.2849881,0.4169539,0.583,0.1401092,0.1723382,0.107,0.1694279,0.150886,0.0899,0.1528244,0.1042972,0.0755,0.09308625,0.1421107,0.0432,0.1354823,0.08406366,0.0809
0.09,0.4789456,0.2829869,0.442,0.247703,0.1413794,0.218,0.3761072,0.5097829,0.164,0.4968133,0.5271653,0.515,0.3773677,0.4291094,0.886,0.2964127,0.4426458,0.536,0.1634034,0.1821166,0.124,0.1945571,0.170936,0.115,0.1479504,0.1056065,0.08,0.09044302,0.1406089,0.0407,0.1389367,0.09119438,0.0877
0.095,0.5231172,0.3047888,0.445,0.2474174,0.1577547,0.223,0.3982136,0.5097108,0.18,0.5056899,0.4850193,0.494,0.3600179,0.4887384,0.962,0.3056476,0.4827625,0.455,0.1839191,0.1760988,0.147,0.2115007,0.1899807,0.142,0.1465231,0.1005557,0.0802,0.09213617,0.1409107,0.0446,0.1474496,0.1058607,0.104
0.1,0.579071,0.3105701,0.515,0.2400659,0.1603565,0.248,0.3446093,0.5171137,0.185,0.4969222,0.5073392,0.511,0.4604408,0.6227056,0.901,0.2986252,0.4716014,0.419,0.1829945,0.1838434,0.17,0.216845,0.1820007,0.149,0.1618869,0.1000343,0.0744,0.09411075,0.1384641,0.0456,0.1455298,0.1222065,0.0995
0.11,0.5498539,0.3391802,0.609,0.251599,0.1714519,0.196,0.3254901,0.5213366,0.156,0.6784811,0.5747026,0.477,0.3732551,0.5596897,0.579,0.3209832,0.5835917,0.425,0.1712006,0.1799186,0.142,0.2148731,0.1578396,0.128,0.1482878,0.1055636,0.0787,0.09436283,0.1481494,0.0547,0.1768229,0.1307517,0.104
0.12,0.66808,0.3156762,0.686,0.2953575,0.1826148,0.193,0.3459716,0.5308263,0.169,0.7307012,0.6244316,0.548,0.3798647,0.5834855,0.462,0.3782698,0.6029445,0.485,0.241713,0.2641144,0.164,0.248695,0.1576948,0.141,0.2001303,0.1279966,0.0794,0.09955723,0.1410054,0.0719,0.1557302,0.1531523,0.12
0.13,0.8193496,0.3533298,0.394,0.3290849,0.2083527,0.217,0.3258147,0.6254211,0.176,0.73545,0.7253228,0.598,0.3909222,0.5581362,0.528,0.3728305,0.6487194,0.46,0.2047105,0.3059789,0.202,0.2069921,0.1485251,0.169,0.2376313,0.1470797,0.0719,0.0967781,0.1460685,0.0603,0.1771176,0.167393,0.117
0.133,0.8078151,0.3916247,0.35,0.332294,0.2160209,0.217,0.3352519,0.651006,0.187,0.7672939,0.7779626,0.613,0.4238835,0.6062468,0.51,0.3641813,0.6405644,0.448,0.2187422,0.289386,0.216,0.201024,0.1500817,0.168,0.2325881,0.1521621,0.0772,0.09938389,0.1506768,0.0534,0.173805,0.1612906,0.113
0.14,0.7421414,0.3566705,0.324,0.3338778,0.183926,0.188,0.3678398,0.6698681,0.207,0.8161752,0.7844672,0.629,0.5729186,0.6367103,0.443,0.3732172,0.5576677,0.446,0.2473627,0.2275727,0.209,0.1956493,0.1802373,0.163,0.2159421,0.1594579,0.0923,0.1030867,0.1569773,0.0531,0.1661868,0.169993,0.0973
0.15,0.6490248,0.4043041,0.315,0.3395805,0.1831999,0.188,0.3732137,0.6346927,0.188,0.9085295,0.6773195,0.639,0.5443182,0.6208955,0.435,0.4666191,0.5453726,0.449,0.2885747,0.2855395,0.177,0.2219257,0.2241879,0.152,0.2003009,0.151357,0.102,0.09640855,0.1487259,0.0776,0.1825565,0.1664392,0.0992
0.16,0.5537445,0.4423018,0.273,0.3107521,0.1972973,0.204,0.3947264,0.6441206,0.237,0.8585778,0.7787543,0.593,0.5538768,0.5076528,0.448,0.4931809,0.5356517,0.449,0.2599701,0.2439399,0.144,0.2542134,0.2239255,0.149,0.1922602,0.1533664,0.0997,0.1008313,0.1433299,0.0797,0.1944387,0.2142045,0.0922
0.17,0.7679414,0.395922,0.224,0.2833015,0.2129789,0.172,0.3929467,0.6231995,0.253,0.8394993,0.9118773,0.544,0.5864127,0.6123292,0.385,0.5570241,0.5170268,0.394,0.2283869,0.2460601,0.152,0.2577311,0.2359139,0.154,0.218885,0.1453494,0.0923,0.1081554,0.1391174,0.0711,0.2326635,0.2582337,0.105
0.18,0.7255563,0.4690148,0.213,0.2625556,0.2122873,0.181,0.3669294,0.5740934,0.24,0.7925925,0.8295778,0.531,0.5343151,0.6475027,0.329,0.4894636,0.6084429,0.372,0.1890501,0.2409447,0.141,0.2410814,0.1907075,0.166,0.2470498,0.146923,0.102,0.1072524,0.1517398,0.0564,0.2518862,0.3022029,0.0982
0.19,0.6464255,0.503484,0.214,0.2905216,0.205302,0.198,0.4374464,0.5050445,0.203,0.7931495,0.6596261,0.498,0.5854952,0.7551886,0.316,0.5357365,0.6256402,0.359,0.1885727,0.2894678,0.133,0.2483895,0.2417884,0.15,0.2598701,0.163997,0.098,0.1079725,0.158644,0.0572,0.2458861,0.313493,0.113
0.2,0.6249086,0.5121339,0.226,0.2922242,0.2244237,0.199,0.4542477,0.5046272,0.206,0.8201352,0.6694331,0.449,0.5893443,0.6484933,0.257,0.5691028,0.5669749,0.424,0.2278536,0.2631536,0.0944,0.2793039,0.2386834,0.177,0.2841875,0.1759278,0.109,0.1124541,0.1504103,0.0714,0.2367476,0.2869228,0.111
0.22,0.6910931,0.5808585,0.258,0.3882258,0.2579229,0.203,0.4250858,0.6172254,0.252,0.790334,0.767548,0.346,0.6128166,0.5379561,0.231,0.5966461,0.6806597,0.494,0.2624547,0.2368565,0.0761,0.4003577,0.2207096,0.16,0.2381991,0.173052,0.119,0.1237252,0.1725284,0.0602,0.2449934,0.2480496,0.121
0.24,0.7918026,0.4774656,0.257,0.3422553,0.2655604,0.162,0.4259774,0.6448776,0.315,0.7282985,0.6895867,0.291,0.592338,0.5792751,0.253,0.4822818,0.6807213,0.381,0.2737377,0.2873024,0.0784,0.3869311,0.2563353,0.139,0.191528,0.1590103,0.128,0.1218198,0.2050246,0.0675,0.2630654,0.1892125,0.168
0.25,0.8129572,0.5404351,0.274,0.3550099,0.2375699,0.175,0.4043457,0.6596408,0.325,0.684747,0.6768835,0.305,0.4761225,0.571899,0.25,0.4780516,0.7401959,0.334,0.2360593,0.2644377,0.0796,0.3680546,0.2661479,0.12,0.1735212,0.1618336,0.127,0.1361931,0.1961852,0.0677,0.276401,0.1896846,0.2
0.26,0.8003548,0.4935613,0.291,0.3555659,0.236014,0.201,0.3957189,0.6611877,0.305,0.6420886,0.6636382,0.339,0.4723747,0.511521,0.236,0.5530268,0.7746376,0.328,0.2378913,0.2112036,0.0702,0.4081998,0.2770745,0.11,0.1755263,0.1658121,0.128,0.1374983,0.1632255,0.0653,0.3078461,0.1829384,0.213
0.28,0.7195173,0.4207981,0.264,0.2968276,0.2363667,0.214,0.4275954,0.6255904,0.275,0.5762047,0.6523355,0.355,0.5199578,0.6159028,0.215,0.7054017,0.7578313,0.338,0.3006046,0.1870354,0.0736,0.3340519,0.308253,0.106,0.1994034,0.210814,0.117,0.138462,0.1656534,0.0618,0.4013258,0.1720113,0.243
0.29,0.6801521,0.4125221,0.236,0.2668607,0.2475616,0.195,0.4721516,0.5890998,0.277,0.5649345,0.6519201,0.319,0.5008774,0.6762808,0.186,0.7013262,0.6893543,0.372,0.2951674,0.1663713,0.0693,0.2617844,0.3021143,0.113,0.2176414,0.2199398,0.13,0.1594934,0.1725451,0.0564,0.4107291,0.1870046,0.231
0.3,0.651731,0.4326212,0.213,0.2824785,0.3028775,0.168,0.4626569,0.5403453,0.251,0.5605962,0.6396068,0.266,0.4864002,0.6521158,0.176,0.6454331,0.5972126,0.362,0.2718756,0.1609136,0.0761,0.2172948,0.2618714,0.118,0.2463518,0.2152655,0.144,0.1765884,0.1767631,0.057,0.4230429,0.1943811,0.208
0.32,0.6672057,0.4539415,0.19,0.3539103,0.2960311,0.124,0.4728825,0.5340378,0.203,0.5078264,0.6218224,0.202,0.4448179,0.4687511,0.182,0.4521111,0.5332615,0.322,0.3098709,0.2132911,0.0701,0.2349872,0.3216984,0.126,0.2602218,0.178626,0.125,0.1648927,0.2013716,0.0757,0.4536313,0.1976701,0.17
0.34,0.5924855,0.3987679,0.198,0.4456358,0.2613723,0.121,0.4114486,0.5448952,0.205,0.4318838,0.633395,0.177,0.4416695,0.4850257,0.196,0.4446408,0.5027444,0.313,0.2911817,0.1872699,0.0961,0.2246535,0.2903095,0.114,0.2812618,0.1700419,0.121,0.1522971,0.1989442,0.0926,0.4257923,0.1765824,0.124
0.35,0.5908319,0.4201553,0.2,0.4259759,0.2688469,0.108,0.3595808,0.5416885,0.215,0.4136477,0.6363944,0.182,0.4231158,0.5028448,0.215,0.4849256,0.5065827,0.314,0.2555385,0.1694676,0.102,0.1957164,0.2824367,0.107,0.2762403,0.184804,0.117,0.1570624,0.2045479,0.0903,0.3918262,0.1730204,0.124
0.36,0.6594111,0.4475716,0.198,0.3827896,0.287921,0.112,0.3528423,0.561785,0.215,0.4103698,0.6363479,0.194,0.4370606,0.519121,0.203,0.5041729,0.5561141,0.272,0.2265208,0.1728315,0.0967,0.1869287,0.2754411,0.101,0.2523889,0.2250139,0.13,0.1593872,0.2188595,0.095,0.3622509,0.1744414,0.125
0.38,0.6754949,0.4845847,0.187,0.33709,0.2874494,0.132,0.3561286,0.5407729,0.202,0.4246431,0.6355692,0.221,0.4492,0.4764677,0.165,0.4490774,0.6068556,0.248,0.1999642,0.1642899,0.0767,0.1723635,0.26469,0.0983,0.1936401,0.2552208,0.158,0.1485151,0.2279291,0.104,0.3165084,0.1744556,0.11
0.4,0.6120297,0.571211,0.186,0.3274099,0.2475082,0.151,0.3908409,0.5186734,0.207,0.4416403,0.6394712,0.232,0.4688969,0.4379796,0.155,0.435565,0.6835969,0.27,0.2056915,0.1644218,0.0779,0.163398,0.2944422,0.103,0.1708624,0.2234109,0.146,0.1687605,0.2329824,0.0936,0.2862082,0.1575116,0.0929
0.42,0.5693891,0.5050506,0.176,0.3688763,0.2037833,0.161,0.4702879,0.5735673,0.205,0.4565716,0.6477609,0.228,0.5657507,0.4211396,0.176,0.4463915,0.7838824,0.247,0.1627077,0.1897373,0.0694,0.1884005,0.3167487,0.111,0.1655532,0.2156962,0.131,0.1781054,0.2663538,0.0675,0.2594226,0.1404853,0.0763
0.44,0.7364107,0.4904124,0.148,0.3900413,0.2074468,0.163,0.5172439,0.5952692,0.211,0.4805264,0.6632227,0.217,0.579928,0.4344321,0.161,0.4717451,0.8278921,0.219,0.1591967,0.1812067,0.0787,0.1852999,0.3326366,0.127,0.1602578,0.1936991,0.147,0.1601009,0.2824833,0.0669,0.2186911,0.1547958,0.0649
0.45,0.8089415,0.492062,0.132,0.365935,0.2122133,0.161,0.5508138,0.6155428,0.213,0.4951522,0.6731498,0.24,0.6099461,0.4246874,0.162,0.491079,0.8424397,0.217,0.1661995,0.1733881,0.0863,0.1773746,0.3311096,0.123,0.157856,0.2060024,0.158,0.159331,0.2807645,0.0707,0.191906,0.1559438,0.0694
0.46,0.8387655,0.4910142,0.126,0.3297375,0.2108641,0.155,0.5740933,0.6107243,0.213,0.4986179,0.682935,0.262,0.6399521,0.4054903,0.169,0.4788313,0.8700298,0.218,0.1681395,0.1680875,0.0964,0.1578757,0.3256079,0.117,0.1615292,0.2099902,0.169,0.1616168,0.2722548,0.0759,0.1640767,0.1505197,0.07
0.48,0.7868146,0.4804482,0.118,0.3027982,0.1941957,0.137,0.5906534,0.6190729,0.239,0.4909979,0.6994509,0.293,0.6619675,0.4885958,0.172,0.5123948,0.8664365,0.21,0.1526776,0.1637162,0.104,0.1556139,0.3027136,0.102,0.180596,0.2240858,0.172,0.1721802,0.2548569,0.0779,0.1442125,0.1368254,0.0821
0.5,0.7376253,0.5175062,0.135,0.3302267,0.1955137,0.11,0.5714035,0.654291,0.299,0.5015535,0.7072785,0.333,0.629436,0.5611822,0.165,0.601492,0.8513957,0.19,0.1597551,0.168587,0.0947,0.1501885,0.2644363,0.0891,0.1912571,0.217411,0.151,0.1887858,0.2578203,0.0692,0.1314018,0.1354527,0.102
0.55,0.7345428,0.5566164,0.173,0.3976776,0.1817496,0.092,0.4043173,0.8834938,0.344,0.5270755,0.7109831,0.274,0.5343243,0.5479318,0.179,0.6213999,0.7125403,0.19,0.1038303,0.133177,0.108,0.1156074,0.2139833,0.0613,0.2653091,0.2715031,0.15,0.194773,0.242839,0.0679,0.1613033,0.1869043,0.0828
0.6,0.5392782,0.5719004,0.174,0.5178605,0.1966603,0.0832,0.312266,0.8557882,0.487,0.5392236,0.7304977,0.232,0.4384025,0.3921784,0.174,0.5815254,0.6228552,0.187,0.1194158,0.1300067,0.109,0.1056554,0.182838,0.0546,0.2841517,0.3115755,0.166,0.1818219,0.2851857,0.092,0.2049952,0.2029488,0.0638
0.65,0.4909773,0.4516414,0.149,0.5368779,0.2113165,0.113,0.3236297,0.7942687,0.473,0.5394149,0.7189216,0.179,0.4281144,0.4213398,0.113,0.511982,0.5440006,0.174,0.1096656,0.1171282,0.0985,0.07134455,0.1695555,0.0552,0.2694596,0.3171608,0.143,0.2423999,0.3932048,0.0887,0.1632813,0.1266385,0.0486
0.667,0.5055289,0.4217544,0.135,0.4967332,0.2004602,0.119,0.3512866,0.7667917,0.456,0.5379806,0.7069869,0.207,0.446481,0.4470463,0.107,0.5003657,0.5287977,0.145,0.102943,0.1115519,0.0897,0.06745218,0.1600918,0.0552,0.2981648,0.3019391,0.127,0.2629558,0.4052842,0.0836,0.146678,0.1259653,0.0485
0.7,0.5563492,0.4303173,0.107,0.393378,0.1723852,0.123,0.3728552,0.7512383,0.423,0.5322161,0.6762897,0.286,0.5392241,0.4431628,0.116,0.5930632,0.4829993,0.122,0.09113216,0.1234244,0.07,0.08117557,0.1524537,0.0488,0.3390759,0.3027057,0.117,0.2977771,0.4000514,0.0625,0.1219896,0.1400117,0.0484
0.75,0.4369805,0.4336465,0.0895,0.2602155,0.1905103,0.106,0.3650779,0.6530291,0.341,0.5156027,0.6244088,0.282,0.4544567,0.4253376,0.0973,0.5407496,0.3644744,0.1,0.08957771,0.1062401,0.0525,0.08511375,0.1118324,0.0423,0.4178844,0.258983,0.124,0.2797673,0.3589948,0.0808,0.1421759,0.1382482,0.0389
0.8,0.5055798,0.4367309,0.0882,0.2435168,0.1980145,0.0812,0.318439,0.6707768,0.297,0.5062883,0.5702153,0.199,0.4416905,0.4283243,0.107,0.4630924,0.2651599,0.0776,0.08392105,0.0889073,0.0449,0.09351267,0.1148259,0.0468,0.4300563,0.2111602,0.105,0.2981679,0.2957522,0.0751,0.1630705,0.1201989,0.0288
0.85,0.5636786,0.3404033,0.084,0.2185882,0.2068661,0.0637,0.2278178,0.646808,0.239,0.532905,0.5126808,0.188,0.5230388,0.3881089,0.116,0.4049596,0.2129242,0.0918,0.06900162,0.08155942,0.0369,0.1013326,0.09475873,0.0497,0.3685898,0.2134056,0.095,0.2493303,0.2830003,0.0812,0.1716459,0.116615,0.0314
0.9,0.4934897,0.3426742,0.0807,0.2135923,0.1882493,0.0592,0.1836441,0.5625337,0.181,0.5468721,0.4554802,0.181,0.4703366,0.3367036,0.113,0.4040981,0.2360931,0.106,0.04747435,0.06624232,0.0355,0.09393293,0.1129593,0.0522,0.2640065,0.2763904,0.0794,0.2336675,0.3239397,0.0819,0.1234163,0.113632,0.0222
0.95,0.499505,0.2871428,0.0784,0.2156888,0.1783139,0.0571,0.15471,0.5079085,0.145,0.55132,0.4029371,0.143,0.4718248,0.2749427,0.0938,0.5141513,0.3232838,0.131,0.03863864,0.06165998,0.0307,0.09004709,0.1221153,0.0448,0.1815963,0.2708844,0.0574,0.2032026,0.3474636,0.075,0.09314823,0.1163291,0.0164
1,0.4698208,0.2785575,0.061,0.2163342,0.1468456,0.0557,0.1638636,0.42351,0.118,0.5466565,0.4032873,0.106,0.4567448,0.2260934,0.0901,0.5093288,0.3284977,0.141,0.03348954,0.05269359,0.0278,0.08800888,0.1101156,0.0445,0.1517492,0.2227079,0.0428,0.2161062,0.3655412,0.0647,0.07314616,0.09962042,0.0135
1.1,0.3752064,0.2678662,0.0473,0.2186935,0.1313509,0.0517,0.173294,0.4178721,0.106,0.5084752,0.310396,0.0862,0.3193711,0.2382191,0.0875,0.4142163,0.2334867,0.106,0.03216352,0.04204579,0.0255,0.07460532,0.07074554,0.051,0.1099546,0.1836958,0.0265,0.1948767,0.3868647,0.0742,0.05477837,0.08591774,0.0113
