Period (sec),RSN-161 SRSS pSa (g),RSN-548 SRSS pSa (g),RSN-806 SRSS pSa (g),RSN-2507 SRSS pSa (g),RSN-4879 SRSS pSa (g),RSN-1410 SRSS pSa (g),RSN-1640 SRSS pSa (g),RSN-1810 SRSS pSa (g),RSN-1825 SRSS pSa (g),RSN-5790 SRSS pSa (g),RSN-6901 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.01,0.25723212,0.30877974,0.24756607,0.18248546,0.25745142,0.26568026,0.19291993,0.17207212,0.18089434,0.17401745,0.18538504,,,,,,,,,,,,,,,,,,,,,,
0.02,0.26046333,0.31496658,0.25012669,0.1843184,0.25715519,0.26622506,0.19241393,0.17222336,0.17989497,0.17359097,0.18660191,,,,,,,,,,,,,,,,,,,,,,
0.022,0.25837809,0.31363102,0.25013346,0.18491871,0.25801841,0.26621625,0.19246188,0.17224715,0.18010871,0.17363709,0.18641668,,,,,,,,,,,,,,,,,,,,,,
0.025,0.26495529,0.32342595,0.24950162,0.1854998,0.29079489,0.26719488,0.19255756,0.172255,0.18015546,0.1737518,0.18682905,,,,,,,,,,,,,,,,,,,,,,
0.029,0.26763256,0.34905213,0.25372568,0.18671153,0.3269699,0.26732819,0.19270346,0.17236202,0.18000503,0.17384676,0.18838737,,,,,,,,,,,,,,,,,,,,,,
0.03,0.27064312,0.35495339,0.25369351,0.1866021,0.34212461,0.26752816,0.19276045,0.17245903,0.18022415,0.17386089,0.18862923,,,,,,,,,,,,,,,,,,,,,,
0.032,0.27896782,0.35728846,0.25396481,0.18711708,0.3545153,0.26747848,0.19290281,0.17247242,0.18073173,0.17381769,0.18827093,,,,,,,,,,,,,,,,,,,,,,
0.035,0.29331086,0.35903916,0.26147232,0.1891851,0.38754985,0.26803312,0.19325008,0.17245001,0.18098164,0.17420101,0.18776515,,,,,,,,,,,,,,,,,,,,,,
0.036,0.29669296,0.36698521,0.26059407,0.18884092,0.40994939,0.26809939,0.19346781,0.17260428,0.18103604,0.17439374,0.18848255,,,,,,,,,,,,,,,,,,,,,,
0.04,0.30198243,0.39137307,0.25746364,0.18784472,0.49463704,0.26730652,0.19483573,0.17248822,0.18190896,0.1741494,0.18677713,,,,,,,,,,,,,,,,,,,,,,
0.042,0.30536419,0.37487517,0.2552412,0.18911861,0.51371717,0.2676824,0.19672987,0.17250334,0.18245142,0.17386146,0.18670011,,,,,,,,,,,,,,,,,,,,,,
0.044,0.31918287,0.3550213,0.26863818,0.19098988,0.49177613,0.26721604,0.19762905,0.17302865,0.18351063,0.17379315,0.19080456,,,,,,,,,,,,,,,,,,,,,,
0.045,0.3188901,0.36214413,0.27449818,0.19202439,0.46437804,0.26660837,0.19779759,0.17326868,0.18337793,0.1742362,0.19394175,,,,,,,,,,,,,,,,,,,,,,
0.046,0.3205039,0.37335029,0.27912373,0.19228756,0.46075765,0.2664301,0.19775063,0.17323492,0.1826346,0.17463952,0.19685971,,,,,,,,,,,,,,,,,,,,,,
0.048,0.34001043,0.39812305,0.28450045,0.19212898,0.45410166,0.26685691,0.19668595,0.17243478,0.18082218,0.17517034,0.19945201,,,,,,,,,,,,,,,,,,,,,,
0.05,0.3455408,0.41461959,0.28872696,0.19545223,0.44514185,0.26778338,0.19448818,0.17316675,0.18388313,0.17560407,0.19939663,,,,,,,,,,,,,,,,,,,,,,
